pop,treat,sex,day,sd,se,ci
1,SA,F,9.84784255,2.29033107,0.477567041,0.990413425
2,SA,F,10.81488445,1.543050095,0.328979386,0.684150085
3,SA,F,10.74429467,1.572978846,0.321082962,0.664210714
4,SA,F,10.65712168,1.37084714,0.279823001,0.57885798
5,SA,F,10.60768711,1.4571377,0.297436988,0.615295288
6,SA,F,0,0,0,0
7,SA,F,0,0,0,0
8,Control,F,0,0,0,0
9,Control,F,10.85603224,1.168381449,0.261258034,0.546819351
10,Control,F,11.16726371,1.734657688,0.420716287,0.891878686
11,Control,F,10.92330565,1.067650982,0.217933344,0.450829471
12,Control,F,10.70691278,2.118653315,0.432468297,0.894628834
13,Control,F,10.3650997,2.332466321,0.476112694,0.984914148
1,SA,M,10.45404859,2.535465197,0.52868104,1.09641737
2,SA,M,11.43704738,1.138357354,0.242698603,0.504719375
3,SA,M,11.32216172,1.274033486,0.260060996,0.537977159
4,SA,M,10.59941906,1.409959717,0.287806822,0.595373773
5,SA,M,11.0052201,0.940622209,0.192003704,0.397189924
6,SA,M,0,0,0,0
7,SA,M,0,0,0,0
8,Control,M,0,0,0,0
9,Control,M,11.33679306,0.995830799,0.222674536,0.46606316
10,Control,M,11.29485317,1.772154347,0.429810562,0.911157688
11,Control,M,11.34174067,1.123214766,0.229275254,0.474291999
12,Control,M,11.49369881,1.465379059,0.299119248,0.618775308
13,Control,M,11.16385985,1.418313094,0.289511948,0.598901094
