"","pop","treat","N","eeF_mod","sd","se","ci","eeM_mod","mSE","mSD","mCI"
"1","1","2",23,11.2163196814783,1.09795254095316,0.228938930739324,0.474790282655028,11.0479758229565,0.519496241593493,2.49141645167655,1.07736926431811
"2","2","2",22,11.9680651524545,1.03378004003462,0.220402645089512,0.45835239214275,12.4067714890909,0.142688024583156,0.669266159242908,0.296735991399975
"3","3","2",24,12.0627149629167,0.702407842964545,0.143378400549343,0.296600819466108,12.3202658595833,0.135607670923672,0.6643391979405,0.280525840487455
"4","4","2",24,11.1299394614167,1.18779250235867,0.242457129256861,0.501560785637561,11.4259695067917,0.232287354176266,1.13797098286601,0.480523003020837
"5","5","2",24,11.8134697791667,0.714985942114519,0.145945894286973,0.301912084926161,12.0930732354167,0.105833551389781,0.518476397143171,0.218933381520146
"6","6","1",20,10.8830292861,1.14976311868663,0.257094849140546,0.538105703515639,11.643997627,0.174770893704861,0.781599197624919,0.365799684534712
"7","7","1",17,11.4086069152353,1.42327015325794,0.345193716215971,0.731777988264115,11.3818642618235,0.366664739185418,1.51179744885103,0.777294523636747
"8","8","1",24,10.725074352125,1.24599774432278,0.254338224520802,0.526138703775426,11.1196008109167,0.258480492937823,1.26629063232148,0.534707638860695
"9","9","1",24,11.2701284580833,1.15241370350717,0.235235462181966,0.486621629083166,11.2098260663333,0.328616725029012,1.60988659453113,0.67979548914225
"10","10","1",24,11.1482420354583,1.05224759567451,0.214789141039415,0.444325191246557,11.451299082875,0.227962345679089,1.11678285496344,0.471576041278026
