pop,treat,sex,day,sd,se,ci
1,SA,F,11.21631968,1.097952541,0.228938931,0.474790283
2,SA,F,11.96806515,1.03378004,0.220402645,0.458352392
3,SA,F,12.06271496,0.702407843,0.143378401,0.296600819
4,SA,F,11.12993946,1.187792502,0.242457129,0.501560786
5,SA,F,11.81346978,0.714985942,0.145945894,0.301912085
6,SA,F,0,0,0,0
7,SA,F,0,0,0,0
8,Control,F,0,0,0,0
9,Control,F,10.88302929,1.149763119,0.257094849,0.538105704
10,Control,F,11.40860692,1.423270153,0.345193716,0.731777988
11,Control,F,10.72507435,1.245997744,0.254338225,0.526138704
12,Control,F,11.27012846,1.152413704,0.235235462,0.486621629
13,Control,F,11.14824204,1.052247596,0.214789141,0.444325191
1,SA,M,11.04797582,2.491416452,0.519496242,1.077369264
2,SA,M,12.40677149,0.669266159,0.142688025,0.296735991
3,SA,M,12.32026586,0.664339198,0.135607671,0.28052584
4,SA,M,11.42596951,1.137970983,0.232287354,0.480523003
5,SA,M,12.09307324,0.518476397,0.105833551,0.218933382
6,SA,M,0,0,0,0
7,SA,M,0,0,0,0
8,Control,M,0,0,0,0
9,Control,M,11.64399763,0.781599198,0.174770894,0.365799685
10,Control,M,11.38186426,1.511797449,0.366664739,0.777294524
11,Control,M,11.11960081,1.266290632,0.258480493,0.534707639
12,Control,M,11.20982607,1.609886595,0.328616725,0.679795489
13,Control,M,11.45129908,1.116782855,0.227962346,0.471576041
