"","population","treatment","N","phenobinary","sd","se","ci"
"1","1","SA",25,0.52,0.509901951359279,0.101980390271856,0.210477180796348
"2","2","SA",25,0.6,0.5,0.1,0.206389856162803
"3","3","SA",25,0.68,0.476095228569523,0.0952190457139047,0.196522451488521
"4","4","SA",25,0.68,0.476095228569523,0.0952190457139047,0.196522451488521
"5","5","SA",25,0.56,0.506622805119022,0.101324561023804,0.209123615754621
"6","6","control",24,0.708333333333333,0.464305621487537,0.0947759881125241,0.196059069093958
"7","7","control",24,0.583333333333333,0.503610155185335,0.102798992457327,0.21265591809026
"8","8","control",25,0.36,0.489897948556636,0.0979795897113271,0.202219934274112
"9","9","control",25,0.52,0.509901951359279,0.101980390271856,0.210477180796348
"10","10","control",23,0.478260869565217,0.510753918455249,0.106499554034051,0.220866556855008
